calories,proteins,fat,carbohydrate,kategori_nutrisi,kategori_nutrisi_encoded
136.0,19.7,3.2,6.0,1,1
390.0,14.2,7.4,68.2,1,1
127.0,1.2,0.5,29.5,0,0
146.0,17.7,5.9,5.6,1,1
380.0,33.6,27.5,0.0,1,1
456.0,46.5,24.4,0.0,1,1
348.0,18.7,29.5,0.0,1,1
193.0,42.0,1.5,0.0,1,1
430.0,58.2,23.6,0.0,1,1
652.0,40.4,54.3,0.0,0,0
319.0,6.9,31.7,0.0,0,0
430.0,33.4,32.4,0.0,1,1
198.0,19.0,13.0,0.0,1,1
107.0,16.5,3.9,1.5,1,1
112.0,20.0,1.3,3.7,1,1
129.0,20.0,4.8,0.0,1,1
296.0,17.1,20.3,11.3,1,1
111.0,19.4,0.9,4.8,1,1
78.0,14.5,0.6,3.7,1,1
144.0,17.8,5.8,5.2,1,1
123.0,15.1,5.5,3.3,1,1
96.0,19.0,1.7,0.0,1,1
138.0,14.0,0.7,7.4,1,1
128.0,18.0,3.0,7.2,1,1
80.0,14.7,1.4,2.2,1,1
417.0,25.9,19.4,32.0,1,1
82.0,6.7,1.0,10.9,0,0
66.0,14.0,0.0,0.0,1,1
90.0,14.9,2.5,2.1,1,1
88.0,14.2,0.7,6.2,1,1
100.0,14.7,2.4,4.9,1,1
134.0,25.5,1.3,5.0,1,1
204.0,34.2,5.6,1.9,1,1
198.0,36.5,2.2,5.5,1,1
120.0,11.3,3.9,10.0,1,1
116.0,11.2,1.2,10.2,1,1
86.0,10.2,1.1,8.7,1,1
107.0,19.6,0.7,5.5,1,1
81.0,11.4,1.9,3.8,1,1
101.0,11.5,4.1,4.6,1,1
109.0,17.0,4.0,0.0,1,1
261.0,38.1,2.3,21.9,1,1
292.0,58.0,4.0,0.0,1,1
74.0,25.2,1.7,0.0,1,1
267.0,23.1,19.4,0.2,1,1
101.0,10.3,3.7,6.7,1,1
298.0,46.3,3.6,20.2,1,1
57.0,10.7,0.3,2.2,1,1
77.0,15.6,0.9,1.6,1,1
92.0,20.0,0.7,0.0,1,1
82.0,11.4,1.2,6.4,1,1
132.0,17.0,6.7,0.8,1,1
162.0,31.7,2.8,0.3,1,1
110.0,12.6,4.2,5.4,1,1
302.0,70.7,1.9,0.4,1,1
103.0,22.0,1.0,0.0,1,1
70.0,10.8,0.7,5.2,1,1
147.0,17.5,6.5,5.4,1,1
109.0,22.0,1.7,0.0,1,1
82.0,18.0,1.0,0.4,1,1
90.0,20.4,0.9,0.0,1,1
252.0,19.9,19.1,0.0,1,1
112.0,20.0,3.0,0.0,1,1
104.0,15.6,3.2,2.0,1,1
258.0,40.3,2.3,18.9,1,1
99.0,20.6,1.4,0.9,1,1
86.0,16.0,2.0,0.0,1,1
188.0,19.3,12.2,0.0,1,1
209.0,15.2,11.3,11.8,1,1
97.0,17.9,2.0,0.4,1,1
598.0,74.3,26.9,9.2,0,0
582.0,68.3,15.2,37.2,0,0
416.0,46.9,23.9,0.0,1,1
121.0,21.7,2.8,0.8,1,1
89.0,18.7,1.0,0.0,1,1
154.0,16.8,5.0,10.5,1,1
125.0,21.3,3.4,2.2,1,1
152.0,17.6,6.1,6.7,1,1
120.0,14.3,4.9,4.6,1,1
144.0,17.5,6.3,4.3,1,1
132.0,17.0,6.6,1.1,1,1
156.0,28.0,4.0,2.0,1,1
176.0,32.0,4.4,0.0,1,1
157.0,28.0,4.2,1.8,1,1
170.0,31.0,4.2,0.0,1,1
153.0,30.0,2.8,0.0,1,1
142.0,27.0,3.0,0.0,1,1
415.0,61.3,17.6,2.9,1,1
534.0,40.2,39.3,4.9,0,0
284.0,34.1,9.9,14.6,1,1
113.0,13.9,4.9,3.4,1,1
240.0,21.7,7.7,20.7,1,1
109.0,19.9,1.8,3.4,1,1
113.0,17.0,4.5,0.0,1,1
194.0,38.0,3.5,0.0,1,1
138.0,27.0,3.3,0.0,1,1
100.0,18.8,2.2,0.0,1,1
289.0,38.0,14.0,0.0,1,1
84.0,15.2,0.6,4.7,1,1
81.0,11.4,1.9,3.8,1,1
199.0,34.1,3.8,7.1,1,1
111.0,13.3,3.4,6.7,1,1
88.0,15.9,0.9,4.1,1,1
96.0,19.5,1.1,2.0,1,1
95.0,15.8,0.7,6.5,1,1
358.0,20.7,26.4,9.4,1,1
204.0,16.0,15.0,0.0,1,1
101.0,15.1,4.1,1.0,1,1
316.0,60.1,6.5,22.4,1,1
98.0,19.6,1.7,1.0,1,1
277.0,60.0,2.3,1.8,1,1
170.0,33.4,3.0,0.0,1,1
331.0,68.7,4.2,0.0,1,1
144.0,32.5,0.6,0.0,1,1
74.0,10.3,1.4,4.1,1,1
347.0,48.8,6.4,19.6,1,1
82.0,17.4,0.4,2.3,1,1
100.0,13.7,1.5,8.0,1,1
96.0,19.2,2.0,0.2,1,1
474.0,7.6,21.6,62.3,0,0
496.0,30.3,33.5,18.4,1,1
156.0,2.7,1.3,33.3,0,0
361.0,8.7,4.5,72.4,0,0
129.0,4.1,1.3,30.3,0,0
307.0,7.9,3.4,63.6,0,0
366.0,9.8,7.3,69.1,0,0
